Atom 1	Atom 2	x/a	y/b	z/c	d 1,2 [A]
	F1	0.51280	1.47744	-0.19726	7.4636
	F2	1.54770	0.79490	-0.05903	7.7637
	F2	-0.45230	-1.20510	-0.05903	7.8172
	F2	1.45230	0.20510	0.05903	7.9765
	F1	-0.48720	0.47744	0.80274	8.0255
	F1	1.48720	1.52256	0.19726	8.1570
	F2	-0.54770	1.20510	0.05903	8.2512
	F1	1.51280	0.47744	-0.19726	8.3119
	F2	0.54770	0.79490	0.94097	8.3225
	F3	0.88124	0.74585	0.89996	8.3683
	F2	-1.45230	-0.20510	-0.05903	8.3900
	F3	-0.11876	0.74585	0.89996	8.3940
	F3	0.88124	1.74585	-0.10004	8.4183
	F3	-0.11876	-0.25415	0.89996	8.4211
	F1	-0.48720	-0.52256	0.80274	8.4611
	F3	-0.11876	-1.25415	-0.10004	8.5393
	F1	-1.51280	-0.47744	0.19726	8.6697
	F1	-1.48720	-0.52256	-0.19726	8.6723
	F3	-1.11876	-1.25415	-0.10004	8.6783
	F2	0.54770	1.79490	-0.05903	8.6834
	F2	-1.54770	-0.79490	0.05903	8.9039
	F1	1.51280	1.47744	-0.19726	8.9272
	F1	0.51280	1.47744	0.80274	8.9682
	F2	-0.45230	-0.20510	0.94097	9.0070
	F1	0.48720	0.52256	-0.80274	9.1019
	F3	-1.11876	0.74585	-0.10004	9.1754
	F1	-0.51280	-0.47744	-0.80274	9.2404
	F1	0.51280	-0.52256	0.80274	9.2841
	F2	0.54770	-0.20510	0.94097	9.3597
	F2	-1.45230	-1.20510	-0.05903	9.3880
	F2	0.45230	0.20510	1.05903	9.4121
	F1	-0.51280	-1.47744	0.19726	9.4514
	F2	1.54770	1.79490	-0.05903	9.5534
	F3	0.11876	0.25415	1.10004	9.6090
	F3	0.11876	0.25415	-0.89996	9.6090
	F2	-1.54770	0.20510	0.05903	9.6365
	F3	1.88124	0.74585	-0.10004	9.6970
	F2	-0.45230	0.79490	0.94097	9.7122
	F1	-0.48720	-1.52256	-0.19726	9.7178
	F1	-0.51280	1.52256	0.19726	9.8289
	F1	-0.51280	0.52256	-0.80274	9.8491
	F3	-0.11876	1.74585	-0.10004	9.9563
	F1	1.51280	0.47744	0.80274	9.9645
